0,01 Feb 2018,Houston Outlaws,San Francisco Shock,-1111,+607
0,01 Feb 2018,Florida Mayhem,Los Angeles Gladiators,+330,-476
0,31 Jan 2018,Los Angeles Valiant,Philadelphia Fusion,-169,+129
0,27 Jan 2018,Los Angeles Gladiators,Houston Outlaws,+174,-233
0,27 Jan 2018,Los Angeles Valiant,Florida Mayhem,-1429,+711
0,27 Jan 2018,Dallas Fuel,Boston Uprising,+106,-139
0,27 Jan 2018,Dallas Fuel,San Francisco Shock,-270,+206
0,27 Jan 2018,Shanghai Dragons,Philadelphia Fusion,+747,-1667
0,26 Jan 2018,Seoul Dynasty,New York Excelsior,-256,+190
0,26 Jan 2018,Houston Outlaws,Florida Mayhem,-556,+353
0,25 Jan 2018,Philadelphia Fusion,New York Excelsior,+1025,-5000
0,25 Jan 2018,Los Angeles Gladiators,Los Angeles Valiant,+379,-625
0,25 Jan 2018,Shanghai Dragons,Seoul Dynasty,+1985,-
0,24 Jan 2018,San Francisco Shock,London Spitfire,+1092,-5000
0,20 Jan 2018,Boston Uprising,San Francisco Shock,-286,+204
0,20 Jan 2018,Los Angeles Gladiators,New York Excelsior,+600,-1250
0,20 Jan 2018,Los Angeles Valiant,London Spitfire,+313,-385
0,20 Jan 2018,London Spitfire,Dallas Fuel,-833,+480
0,20 Jan 2018,Shanghai Dragons,Florida Mayhem,+333,-526
0,19 Jan 2018,Seoul Dynasty,Boston Uprising,-1667,+692
0,19 Jan 2018,Philadelphia Fusion,Los Angeles Gladiators,-132,-101
0,18 Jan 2018,New York Excelsior,Los Angeles Valiant,-185,+138
0,18 Jan 2018,Dallas Fuel,Houston Outlaws,-233,+169
0,18 Jan 2018,Houston Outlaws,Shanghai Dragons,-909,+501
0,18 Jan 2018,Florida Mayhem,Seoul Dynasty,+1005,-3333
0,17 Jan 2018,San Francisco Shock,Philadelphia Fusion,+241,-357
0,13 Jan 2018,Seoul Dynasty,Los Angeles Gladiators,-769,+443
0,13 Jan 2018,New York Excelsior,Houston Outlaws,-323,+227
0,13 Jan 2018,London Spitfire,Philadelphia Fusion,-333,+229
0,13 Jan 2018,San Francisco Shock,Shanghai Dragons,-435,+316
0,13 Jan 2018,Florida Mayhem,Boston Uprising,-139,+110
0,12 Jan 2018,Los Angeles Valiant,Dallas Fuel,+171,-222
0,12 Jan 2018,Boston Uprising,New York Excelsior,+380,-769
0,11 Jan 2018,Philadelphia Fusion,Houston Outlaws,+143,-161
0,11 Jan 2018,London Spitfire,Florida Mayhem,-1667,+652
0,11 Jan 2018,Dallas Fuel,Seoul Dynasty,+413,-588
0,11 Jan 2018,Shanghai Dragons,Los Angeles Gladiators,+276,-370
0,10 Jan 2018,San Francisco Shock,Los Angeles Valiant,+250,-357
0,29 Sep 2019,Vancouver Titans,San Francisco Shock,+152,-204
0,15 Sep 2019,New York Excelsior,San Francisco Shock,+204,-278
0,14 Sep 2019,Hangzhou Spark,San Francisco Shock,+235,-323
0,13 Sep 2019,Vancouver Titans,New York Excelsior,-182,+138
0,13 Sep 2019,Los Angeles Gladiators,San Francisco Shock,+240,-476
0,12 Sep 2019,Atlanta Reign,Hangzhou Spark,-141,+106
0,08 Sep 2019,New York Excelsior,Atlanta Reign,+125,-139
0,08 Sep 2019,Vancouver Titans,Los Angeles Gladiators,-270,+199
0,08 Sep 2019,London Spitfire,San Francisco Shock,+400,-1250
0,07 Sep 2019,San Francisco Shock,Atlanta Reign,-385,+269
0,06 Sep 2019,New York Excelsior,London Spitfire,+110,-145
0,06 Sep 2019,Hangzhou Spark,Los Angeles Gladiators,-127,-103
0,05 Sep 2019,Vancouver Titans,Seoul Dynasty,-256,+188
0,31 Aug 2019,Seoul Dynasty,Guangzhou Charge,+160,-208
0,31 Aug 2019,London Spitfire,Shanghai Dragons,-208,+156
0,31 Aug 2019,Philadelphia Fusion,Shanghai Dragons,-110,-110
0,31 Aug 2019,Guangzhou Charge,Chengdu Hunters,-435,+305
0,26 Aug 2019,San Francisco Shock,Los Angeles Valiant,-435,+298
0,25 Aug 2019,New York Excelsior,Vancouver Titans,+261,-370
0,25 Aug 2019,Atlanta Reign,Boston Uprising,-1429,+645
0,25 Aug 2019,Hangzhou Spark,Shanghai Dragons,-278,+200
0,25 Aug 2019,Los Angeles Gladiators,Los Angeles Valiant,-130,+100
0,25 Aug 2019,San Francisco Shock,Vancouver Titans,-222,+162
0,24 Aug 2019,Boston Uprising,New York Excelsior,+378,-588
0,24 Aug 2019,Atlanta Reign,Dallas Fuel,-1429,+665
0,19 Aug 2019,Dallas Fuel,Guangzhou Charge,+500,-909
0,18 Aug 2019,Florida Mayhem,Toronto Defiant,-312,+227
0,18 Aug 2019,Paris Eternal,Washington Justice,+163,-217
0,18 Aug 2019,London Spitfire,Atlanta Reign,-125,-108
0,18 Aug 2019,Chengdu Hunters,Houston Outlaws,-189,+142
0,17 Aug 2019,Seoul Dynasty,Philadelphia Fusion,-385,+268
0,17 Aug 2019,Los Angeles Valiant,Boston Uprising,-833,+496
0,17 Aug 2019,Paris Eternal,Shanghai Dragons,+229,-312
0,17 Aug 2019,Los Angeles Gladiators,Hangzhou Spark,-323,+206
0,17 Aug 2019,Chengdu Hunters,San Francisco Shock,+459,-833
0,16 Aug 2019,Washington Justice,Atlanta Reign,-119,-112
0,16 Aug 2019,Seoul Dynasty,Shanghai Dragons,-154,+117
0,16 Aug 2019,Dallas Fuel,Hangzhou Spark,+264,-370
0,15 Aug 2019,Boston Uprising,Florida Mayhem,+289,-417
0,12 Aug 2019,Guangzhou Charge,New York Excelsior,+100,-132
0,11 Aug 2019,San Francisco Shock,Dallas Fuel,-714,+441
0,11 Aug 2019,Philadelphia Fusion,Vancouver Titans,+238,-526
0,11 Aug 2019,Washington Justice,Houston Outlaws,-357,+252
0,11 Aug 2019,Chengdu Hunters,Hangzhou Spark,-263,+198
0,10 Aug 2019,Florida Mayhem,Los Angeles Valiant,+156,-200
0,10 Aug 2019,Seoul Dynasty,Toronto Defiant,-435,+303
0,10 Aug 2019,Houston Outlaws,London Spitfire,+204,-278
0,10 Aug 2019,Hangzhou Spark,New York Excelsior,+172,-227
0,10 Aug 2019,San Francisco Shock,Shanghai Dragons,-244,+183
0,10 Aug 2019,Dallas Fuel,Los Angeles Gladiators,+408,-625
0,09 Aug 2019,Boston Uprising,Washington Justice,+287,-400
0,09 Aug 2019,Guangzhou Charge,Seoul Dynasty,-172,+129
0,09 Aug 2019,Toronto Defiant,Florida Mayhem,+150,-196
0,09 Aug 2019,Paris Eternal,Philadelphia Fusion,+172,-233
0,08 Aug 2019,London Spitfire,Vancouver Titans,+133,-175
0,04 Aug 2019,Chengdu Hunters,New York Excelsior,+250,-345
0,04 Aug 2019,Vancouver Titans,Washington Justice,-2000,+928
0,04 Aug 2019,Atlanta Reign,Houston Outlaws,-208,+150
0,04 Aug 2019,Philadelphia Fusion,Toronto Defiant,-227,+170
0,03 Aug 2019,Los Angeles Gladiators,San Francisco Shock,+242,-333
0,03 Aug 2019,Dallas Fuel,Los Angeles Valiant,+214,-286
0,03 Aug 2019,Florida Mayhem,London Spitfire,+794,-1667
0,03 Aug 2019,Atlanta Reign,Paris Eternal,-208,+158
0,03 Aug 2019,Guangzhou Charge,Hangzhou Spark,-137,+104
0,03 Aug 2019,Chengdu Hunters,Los Angeles Gladiators,+191,-256
0,03 Aug 2019,Houston Outlaws,Philadelphia Fusion,-179,+135
0,02 Aug 2019,New York Excelsior,Paris Eternal,-455,+308
0,02 Aug 2019,Los Angeles Valiant,Seoul Dynasty,-149,+114
0,02 Aug 2019,Shanghai Dragons,Toronto Defiant,-2000,+905
0,02 Aug 2019,Florida Mayhem,Washington Justice,+127,-167
0,01 Aug 2019,Guangzhou Charge,London Spitfire,+133,-175
0,28 Jul 2019,Boston Uprising,Chengdu Hunters,+263,-370
0,28 Jul 2019,Vancouver Titans,Florida Mayhem,-2000,+875
0,28 Jul 2019,London Spitfire,Toronto Defiant,-769,+471
0,28 Jul 2019,Shanghai Dragons,Seoul Dynasty,-192,+148
0,27 Jul 2019,Atlanta Reign,Hangzhou Spark,+186,-256
0,27 Jul 2019,Los Angeles Gladiators,Houston Outlaws,-455,+313
0,27 Jul 2019,Boston Uprising,Guangzhou Charge,+179,-244
0,27 Jul 2019,Paris Eternal,Los Angeles Valiant,+167,-227
0,27 Jul 2019,Philadelphia Fusion,Chengdu Hunters,-149,+114
0,27 Jul 2019,Seoul Dynasty,San Francisco Shock,+185,-250
0,27 Jul 2019,Dallas Fuel,London Spitfire,+202,-278
0,26 Jul 2019,Toronto Defiant,Washington Justice,-139,+106
0,26 Jul 2019,Shanghai Dragons,Vancouver Titans,-115,-116
0,26 Jul 2019,Guangzhou Charge,Philadelphia Fusion,-125,-106
0,26 Jul 2019,Los Angeles Gladiators,New York Excelsior,+160,-208
0,25 Jul 2019,Houston Outlaws,Paris Eternal,-204,+154
0,13 Jul 2019,Los Angeles Valiant,Hangzhou Spark,+147,-192
0,13 Jul 2019,Seoul Dynasty,San Francisco Shock,+445,-714
0,12 Jul 2019,Shanghai Dragons,New York Excelsior,+275,-400
0,12 Jul 2019,Houston Outlaws,Vancouver Titans,+713,-1429
0,07 Jul 2019,New York Excelsior,Toronto Defiant,-2500,+899
0,07 Jul 2019,Florida Mayhem,Atlanta Reign,+206,-278
0,07 Jul 2019,Washington Justice,Guangzhou Charge,+282,-400
0,07 Jul 2019,Philadelphia Fusion,Shanghai Dragons,+150,-196
0,06 Jul 2019,Guangzhou Charge,Shanghai Dragons,+378,-625
0,06 Jul 2019,Toronto Defiant,Atlanta Reign,+280,-400
0,06 Jul 2019,Philadelphia Fusion,Washington Justice,-476,+323
0,06 Jul 2019,Florida Mayhem,New York Excelsior,+1357,-5000
