,id,team_one,team_two,stage,winner,date
110,10576,Philadelphia Fusion,Los Angeles Gladiators,Overwatch League - Stage 2,Philadelphia Fusion,3/21/2018
111,10577,San Francisco Shock,Florida Mayhem,Overwatch League - Stage 2,Florida Mayhem,3/22/2018
112,10578,Houston Outlaws,Shanghai Dragons,Overwatch League - Stage 2,Houston Outlaws,3/22/2018
113,10579,Seoul Dynasty,Houston Outlaws,Overwatch League - Stage 2,Houston Outlaws,3/22/2018
114,10580,Dallas Fuel,New York Excelsior,Overwatch League - Stage 2,New York Excelsior,3/23/2018
115,10581,Boston Uprising,San Francisco Shock,Overwatch League - Stage 2,Boston Uprising,3/23/2018
116,10582,Florida Mayhem,Seoul Dynasty,Overwatch League - Stage 2,Seoul Dynasty,3/23/2018
117,10583,Los Angeles Valiant,Philadelphia Fusion,Overwatch League - Stage 2,Philadelphia Fusion,3/24/2018
118,10584,Shanghai Dragons,London Spitfire,Overwatch League - Stage 2,London Spitfire,3/24/2018
119,10585,London Spitfire,Dallas Fuel,Overwatch League - Stage 2,London Spitfire,3/24/2018
120,10586,New York Excelsior,Los Angeles Valiant,Overwatch League - Stage 2,New York Excelsior,3/24/2018
121,10587,Los Angeles Gladiators,Boston Uprising,Overwatch League - Stage 2,Boston Uprising,3/25/2018
122,10540,London Spitfire,Philadelphia Fusion,Overwatch League - Stage 2 Title Matches,Philadelphia Fusion,3/25/2018
123,10542,New York Excelsior,Philadelphia Fusion,Overwatch League - Stage 2 Title Matches,New York Excelsior,3/25/2018
124,10333,Dallas Fuel,Shanghai Dragons,Overwatch League - Stage 3,Dallas Fuel,4/4/2018
125,10334,Seoul Dynasty,Los Angeles Valiant,Overwatch League - Stage 3,Los Angeles Valiant,4/5/2018
126,10335,Los Angeles Gladiators,San Francisco Shock,Overwatch League - Stage 3,San Francisco Shock,4/5/2018
127,10336,New York Excelsior,Florida Mayhem,Overwatch League - Stage 3,New York Excelsior,4/5/2018
128,10337,Boston Uprising,Philadelphia Fusion,Overwatch League - Stage 3,Boston Uprising,4/6/2018
129,10338,Houston Outlaws,London Spitfire,Overwatch League - Stage 3,Houston Outlaws,4/6/2018
130,10339,Dallas Fuel,Los Angeles Gladiators,Overwatch League - Stage 3,Los Angeles Gladiators,4/6/2018
131,10340,Shanghai Dragons,Los Angeles Valiant,Overwatch League - Stage 3,Los Angeles Valiant,4/7/2018
132,10341,San Francisco Shock,Seoul Dynasty,Overwatch League - Stage 3,Seoul Dynasty,4/7/2018
133,10342,Philadelphia Fusion,Florida Mayhem,Overwatch League - Stage 3,Philadelphia Fusion,4/7/2018
134,10343,Boston Uprising,Houston Outlaws,Overwatch League - Stage 3,Boston Uprising,4/7/2018
135,10344,London Spitfire,New York Excelsior,Overwatch League - Stage 3,New York Excelsior,4/7/2018
136,10345,Los Angeles Gladiators,Shanghai Dragons,Overwatch League - Stage 3,Los Angeles Gladiators,4/11/2018
137,10346,Los Angeles Valiant,San Francisco Shock,Overwatch League - Stage 3,Los Angeles Valiant,4/12/2018
138,10347,Seoul Dynasty,Dallas Fuel,Overwatch League - Stage 3,Seoul Dynasty,4/12/2018
