,Unnamed: 0,id,team_one,team_two,stage,winner,date,corona_virus_isolation,t1_wins_season,t1_losses_season,t2_wins_season,t2_losses_season,t1_matches_season,t2_matches_season,t1_win_percent_season,t2_win_percent_season,t1_wins_alltime,t1_losses_alltime,t2_wins_alltime,t2_losses_alltime,t1_matches_alltime,t2_matches_alltime,t1_win_percent_alltime,t2_win_percent_alltime,t1_wins_last_3,t1_losses_last_3,t2_wins_last_3,t2_losses_last_3,t1_win_percent_last_3,t2_win_percent_last_3,t1_wins_last_5,t1_losses_last_5,t2_wins_last_5,t2_losses_last_5,t1_win_percent_last_5,t2_win_percent_last_5,t1_wins_last_10,t1_losses_last_10,t2_wins_last_10,t2_losses_last_10,t1_win_percent_last_10,t2_win_percent_last_10,t1_wins_last_20,t1_losses_last_20,t2_wins_last_20,t2_losses_last_20,t1_win_percent_last_20,t2_win_percent_last_20,t1_place_last_season,t2_place_last_season,t1_wins_vs_t2,t1_losses_vs_t2,t1_matches_vs_t2,t1_win_percent_vs_t2,winner_label,t1_odds,t2_odds
36,36,10259,Philadelphia Fusion,Los Angeles Valiant,Overwatch League - Stage 1,Los Angeles Valiant,2018-02-01,False,4.0,2.0,4.0,2.0,6.0,6.0,0.6666666666666666,0.6666666666666666,4.0,2.0,4.0,2.0,6.0,6.0,0.6666666666666666,0.6666666666666666,2.0,1.0,2.0,1.0,0.6666666666666666,0.6666666666666666,3.0,2.0,3.0,2.0,0.6,0.6,,,,,,,,,,,,,,,0,0,0,,1,,
37,37,10260,Los Angeles Gladiators,Florida Mayhem,Overwatch League - Stage 1,Los Angeles Gladiators,2018-02-01,False,2.0,4.0,1.0,5.0,6.0,6.0,0.3333333333333333,0.16666666666666666,2.0,4.0,1.0,5.0,6.0,6.0,0.3333333333333333,0.16666666666666666,0.0,3.0,1.0,2.0,0.0,0.3333333333333333,1.0,4.0,1.0,4.0,0.2,0.2,,,,,,,,,,,,,,,0,0,0,,0,-476,330
38,38,10261,San Francisco Shock,Houston Outlaws,Overwatch League - Stage 1,Houston Outlaws,2018-02-01,False,2.0,4.0,4.0,2.0,6.0,6.0,0.3333333333333333,0.6666666666666666,2.0,4.0,4.0,2.0,6.0,6.0,0.3333333333333333,0.6666666666666666,1.0,2.0,3.0,0.0,0.3333333333333333,1.0,2.0,3.0,4.0,1.0,0.4,0.8,,,,,,,,,,,,,,,0,0,0,,1,607,-1111
39,39,10262,Dallas Fuel,Philadelphia Fusion,Overwatch League - Stage 1,Philadelphia Fusion,2018-02-01,False,1.0,5.0,4.0,2.0,6.0,6.0,0.16666666666666666,0.6666666666666666,1.0,5.0,4.0,2.0,6.0,6.0,0.16666666666666666,0.6666666666666666,1.0,2.0,2.0,1.0,0.3333333333333333,0.6666666666666666,1.0,4.0,3.0,2.0,0.2,0.6,,,,,,,,,,,,,,,0,0,0,,1,136,-172
40,40,10263,Shanghai Dragons,New York Excelsior,Overwatch League - Stage 1,New York Excelsior,2018-02-02,False,0.0,6.0,5.0,1.0,6.0,6.0,0.0,0.8333333333333334,0.0,6.0,5.0,1.0,6.0,6.0,0.0,0.8333333333333334,0.0,3.0,2.0,1.0,0.0,0.6666666666666666,0.0,5.0,4.0,1.0,0.0,0.8,,,,,,,,,,,,,,,0,0,0,,1,,
41,41,10264,Seoul Dynasty,London Spitfire,Overwatch League - Stage 1,London Spitfire,2018-02-02,False,5.0,1.0,5.0,1.0,6.0,6.0,0.8333333333333334,0.8333333333333334,5.0,1.0,5.0,1.0,6.0,6.0,0.8333333333333334,0.8333333333333334,2.0,1.0,2.0,1.0,0.6666666666666666,0.6666666666666666,4.0,1.0,4.0,1.0,0.8,0.8,,,,,,,,,,,,,,,0,0,0,,1,-278,208
42,42,10265,Florida Mayhem,San Francisco Shock,Overwatch League - Stage 1,San Francisco Shock,2018-02-03,False,1.0,6.0,2.0,5.0,7.0,7.0,0.14285714285714285,0.2857142857142857,1.0,6.0,2.0,5.0,7.0,7.0,0.14285714285714285,0.2857142857142857,0.0,3.0,0.0,3.0,0.0,0.0,1.0,4.0,1.0,4.0,0.2,0.2,,,,,,,,,,,,,,,0,0,0,,1,,
43,43,10266,Houston Outlaws,Seoul Dynasty,Overwatch League - Stage 1,Seoul Dynasty,2018-02-03,False,5.0,2.0,5.0,2.0,7.0,7.0,0.7142857142857143,0.7142857142857143,5.0,2.0,5.0,2.0,7.0,7.0,0.7142857142857143,0.7142857142857143,3.0,0.0,1.0,2.0,1.0,0.3333333333333333,5.0,0.0,3.0,2.0,1.0,0.6,,,,,,,,,,,,,,,0,0,0,,1,191,-256
44,44,10267,Boston Uprising,Los Angeles Gladiators,Overwatch League - Stage 1,Boston Uprising,2018-02-03,False,3.0,3.0,3.0,4.0,6.0,7.0,0.5,0.42857142857142855,3.0,3.0,3.0,4.0,6.0,7.0,0.5,0.42857142857142855,2.0,1.0,1.0,2.0,0.6666666666666666,0.3333333333333333,3.0,2.0,2.0,3.0,0.6,0.4,,,,,,,,,,,,,,,0,0,0,,0,-263,191
45,45,10268,London Spitfire,Shanghai Dragons,Overwatch League - Stage 1,London Spitfire,2018-02-03,False,6.0,1.0,0.0,7.0,7.0,7.0,0.8571428571428571,0.0,6.0,1.0,0.0,7.0,7.0,7.0,0.8571428571428571,0.0,2.0,1.0,0.0,3.0,0.6666666666666666,0.0,4.0,1.0,0.0,5.0,0.8,0.0,,,,,,,,,,,,,,,0,0,0,,0,-5000,1027
